r star_mass gas_mass dm_mass star_density gas_density dm_density
9.182735549490118 511291.07301384764 11010607.828082366 1885167962.0092597 0.0 19776.031763290084 2607409.4797492223
9.339690010350882 511291.07301384764 11211281.069380553 1908942418.2750118 0.0 21782.132049998334 2581122.445963497
9.49664447121165 511291.07301384764 11412139.549006766 1932203466.4248 0.0 21442.11306683304 2483649.059056988
9.653598932072413 511291.07301384764 11605468.3636632 1955096587.7346287 0.0 20302.943085542865 2404625.8879754203
9.81055339293318 511291.07301384764 11806369.546084942 1978149269.1536233 0.0 20760.824061854568 2382650.34701244
9.967507853793943 511291.07301384764 12002186.724154523 2001185994.5617015 0.0 19916.986004472295 2343511.6824042266
10.12446231465471 511469.4537984612 12192557.21827094 2023952406.3730748 17.865804192466364 19062.979635591164 2280111.875291054
10.281416775515474 511469.4537984612 12396334.604054173 2047281971.5109167 0.0 20094.15380192832 2300847.171894501
10.438371236376241 511469.4537984612 12613331.12487652 2070543958.2495823 0.0 21076.09801682674 2259689.139751167
10.595325697237005 511469.4537984612 12811960.722395081 2093094494.6191425 0.0 19006.546072642053 2158130.592276198
10.752280158097772 511469.4537984612 13009338.894570714 2115137254.4060035 0.0 18611.242948749434 2078744.2485338286
10.909234618958536 511469.4537984612 13223115.10337904 2136371889.1693819 0.0 19867.585817030755 1973725.1333893822
11.066189079819303 511469.4537984612 13433136.526890818 2157270509.114634 0.0 19241.929158116815 1914944.3573379044
11.223143540680066 511469.4537984612 13651300.74855305 2177780553.2646227 0.0 19708.570100595283 1853058.7192275757
11.380098001540832 511469.4537984612 13855729.686978662 2198049380.0731072 0.0 18213.1640001678 1806010.0657620067
11.537052462401597 511469.4537984612 14058607.820461795 2218022551.3851957 0.0 17829.21583751108 1755456.843887866
11.69400692326236 511469.4537984612 14268208.278450266 2237347157.782968 0.0 18172.86984859467 1675659.3616078785
11.850961384123128 511469.4537984612 14479422.39169379 2255906814.2456203 0.0 18070.354801514753 1588017.1734629846
12.007915844983891 511469.4537984612 14710131.314051878 2274460839.175008 0.0 19480.34778645466 1566786.2499392584
12.164870305844659 511469.4537984612 14905362.330694776 2292521166.354858 0.0 16272.108775853249 1505420.3353437209
12.321824766705422 511469.4537984612 15113154.45062388 2310311179.938003 0.0 17098.54050454852 1464000.7030769808
12.47877922756619 511469.4537984612 15353443.999625888 2327813985.3246493 0.0 19524.063168043962 1422250.0998279597
12.635733688426953 511469.4537984612 15568597.282349667 2345054924.4144874 0.0 17264.63108699485 1383570.3003980534
12.79268814928772 511469.4537984612 15784938.639010062 2361827507.654479 0.0 17147.066598670277 1329472.2550259144
12.949642610148484 511469.4537984612 15997054.11955568 2378732431.926191 0.0 16608.443535344115 1323722.4423528342
13.10659707100925 511469.4537984612 16221229.442151353 2395206543.9031544 0.0 17342.6079257876 1274541.2371181943
13.263551531870014 511469.4537984612 16426831.142448857 2411412219.461168 0.0 15717.576057867116 1238937.7046569318
13.420505992730781 511469.4537984612 16658820.78683311 2426868901.094978 0.0 17527.521291041972 1167857.5043707972
13.577460453591545 511469.4537984612 16892212.152112715 2442203566.17472 0.0 17429.666635517224 1145245.3857628235
13.73441491445231 511469.4537984612 17085052.790351983 2457400258.6894765 0.0 14236.82809707229 1121972.0172643964
13.891369375313076 511469.4537984612 17314907.39012541 2472397031.773337 0.0 16777.797180632424 1094702.6683108113
14.04832383617384 511469.4537984612 17537470.646932274 2487175113.648752 0.0 16064.147047937171 1066687.6602686066
14.205278297034607 511469.4537984612 17767941.09251197 2501762661.9820457 0.0 16451.143031433552 1041301.6684037531
14.36223275789537 511469.4537984612 17995400.011889357 2516019827.0304775 0.0 16058.812355895303 1006596.7015119564
14.519187218756137 511469.4537984612 18200144.875057347 2530166238.5913706 0.0 14298.97516264847 987980.8972967876
14.6761416796169 511469.4537984612 18441084.974642843 2543993529.9339314 0.0 16646.891309700237 955366.5989182787
14.833096140477668 511469.4537984612 18645165.724482603 2557626533.3788605 0.0 13951.082224203938 931976.2270846616
